level1_name,level1_id,level2_name,level2_id,level3_name,level3_id,level4_name,level4_id,cat
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,Swabian Restaurants,56aa371ce4b08b9a8d573576,-,-,Swabian Restaurants
Food,4d4b7105d754a06374d81259,German Restaurants,4bf58dd8d48988d10d941735,-,-,-,-,German Restaurants
Food,4d4b7105d754a06374d81259,Gluten-free Restaurants,4c2cd86ed066bed06c3c5209,-,-,-,-,Gluten-free Restaurants
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Bougatsa Shops,53d6c1b0e4b02351e88a83e8,-,-,Bougatsa Shops
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Cretan Restaurants,53d6c1b0e4b02351e88a83e2,-,-,Cretan Restaurants
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Fish Tavernas,53d6c1b0e4b02351e88a83d8,-,-,Fish Tavernas
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Grilled Meat Restaurants,53d6c1b0e4b02351e88a83d6,-,-,Grilled Meat Restaurants
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Kafenia,53d6c1b0e4b02351e88a83e6,-,-,Kafenia
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Magirio,53d6c1b0e4b02351e88a83e4,-,-,Magirio
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Meze Restaurants,53d6c1b0e4b02351e88a83da,-,-,Meze Restaurants
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Modern Greek Restaurants,53d6c1b0e4b02351e88a83d4,-,-,Modern Greek Restaurants
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Ouzeries,53d6c1b0e4b02351e88a83dc,-,-,Ouzeries
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Patsa Restaurants,53d6c1b0e4b02351e88a83e0,-,-,Patsa Restaurants
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Souvlaki Shops,52e81612bcbc57f1066b79f3,-,-,Souvlaki Shops
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Tavernas,53d6c1b0e4b02351e88a83d2,-,-,Tavernas
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,Tsipouro Restaurants,53d6c1b0e4b02351e88a83de,-,-,Tsipouro Restaurants
Food,4d4b7105d754a06374d81259,Greek Restaurants,4bf58dd8d48988d10e941735,-,-,-,-,Greek Restaurants
Food,4d4b7105d754a06374d81259,Halal Restaurants,52e81612bcbc57f1066b79ff,-,-,-,-,Halal Restaurants
Food,4d4b7105d754a06374d81259,Hawaiian Restaurants,52e81612bcbc57f1066b79fe,-,-,-,-,Hawaiian Restaurants
Food,4d4b7105d754a06374d81259,Hot Dog Joints,4bf58dd8d48988d16f941735,-,-,-,-,Hot Dog Joints
Food,4d4b7105d754a06374d81259,Hungarian Restaurants,52e81612bcbc57f1066b79fa,-,-,-,-,Hungarian Restaurants
Food,4d4b7105d754a06374d81259,Indian Restaurants,4bf58dd8d48988d10f941735,Andhra Restaurants,54135bf5e4b08f3d2429dfe5,-,-,Andhra Restaurants
Food,4d4b7105d754a06374d81259,Indian Restaurants,4bf58dd8d48988d10f941735,Awadhi Restaurants,54135bf5e4b08f3d2429dff3,-,-,Awadhi Restaurants
Food,4d4b7105d754a06374d81259,Indian Restaurants,4bf58dd8d48988d10f941735,Bengali Restaurants,54135bf5e4b08f3d2429dff5,-,-,Bengali Restaurants
Food,4d4b7105d754a06374d81259,Indian Restaurants,4bf58dd8d48988d10f941735,Chaat Places,54135bf5e4b08f3d2429dfe2,-,-,Chaat Places
Food,4d4b7105d754a06374d81259,Indian Restaurants,4bf58dd8d48988d10f941735,Chettinad Restaurants,54135bf5e4b08f3d2429dff2,-,-,Chettinad Restaurants
